id,date,type,feature_type,feature_subtype,description,lat,lon
231,2021-09-20T18:57:46Z,hazard-concern,crossing issue,conflict with vehicles turning right,Crossing only on one side of the street. ,47.57025612917143,-52.73579596323581
233,2021-09-20T18:57:46Z,incident,hit by,vehicle turning left,Left turning vehicles commonly do not yield to pedestrians. ,47.56971251864126,-52.73218460998385
235,2021-09-20T18:57:46Z,amenity,other,NA,Snow clearing ,47.564936537518825,-52.730392764829695
240,2021-10-07T16:11:00Z,amenity,sidewalk,NA,"You can see faint remnants of a sidewalk, but the lines need to repainted and signage installed. This is a common travel corridor for kids walking to school, so it is a significant safety issue.",49.62001072807923,-125.03360755936323
241,2021-10-09T22:30:00Z,hazard-concern,crossing issue,signal - pedestrian interval too short,"Many seniors live close by (e.g., Highgate Lodge) and need to cross, often with walkers. The crossing time is too short for them. I've seen other pedestrians, concerned for their safety, escorting them across.",48.46126658688168,-123.33299528368603
242,2021-10-09T22:30:00Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,Eastbound drivers often do not stop for the red light at Shelbourne when they are turning right (south) onto Shelbourne creating a hazard for people crossing Shelbourne. They also pull out into the intersection quite a ways (poor site lines) to check for southbound traffic as they are turning and don't see pedestrians crossing Shelbourne (southside).,48.46125199676708,-123.33299644172027
243,2021-10-16T20:30:00Z,hazard-concern,safety/comfort concern,other users - dogs,Large off-leash dog jumped up at me as I approached. Owners were indifferent to their dog's bad behaviour and excused it as being 'excitable'.,48.4899474928733,-123.49471574725743
244,2021-10-18T20:49:48Z,amenity,sidewalk,NA,No sidewalk / footpath on this section of Duff Street.,-33.934872577100535,151.14057947138193
245,2021-10-18T20:34:00Z,amenity,sidewalk,NA,"Segments of this road have no sidewalk but are flanked with nice sidewalks. Not very useful to have no continuity. Also, a bus route.",48.45339759851775,-123.4626868750341
246,2021-10-18T23:10:21Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,The cycle path is in marked,51.482158435600816,-0.07415196579479912
247,2021-10-18T20:15:00Z,incident,near miss,vehicle turning head-on,"Crossing S. Greensboro St heading west. The driver in the near lane yielded to me, the driver in the far lane appeared to be slowing down, so I proceeded to walk in front of the stopped near-side driver, and once I entered the far lane, the driver sped up and drive toward me at speed. I jumped out of the way and cursed quite loudly. Frightening. ",35.909111061602445,-79.07228474007778
248,2021-10-18T23:19:14Z,hazard-concern,crossing issue,conflict with vehicles turning left,"There is a permissive yellow at this intersection (for motorists turning left from Raleigh Rd onto Burning Tree Dr) in effect while the pedestrian signal is active. A rise in the road limits the motorists' view of oncoming traffic, which results in them making turns hastily and not taking time to look for pedestrians. This is in an elementary school walk zone at the head of a multiuse path.",35.906472291230564,-79.01882532898185
249,2021-10-18T23:19:14Z,hazard-concern,crossing issue,crosswalk needed,"There are no crosswalks at this four way stop. Three of the parcels are town-owned, including a playground, picnic area, and tennis courts. Drivers routinely blow through the intersection, making it a dangerous place for kids trying to access the public amenities here. The intersection is also in a walk zone for an elementary school.",35.910731509926485,-79.0218214884943
250,2021-10-18T19:00:00Z,hazard-concern,crossing issue,poor visibility of pedestrians,The extra lanes at this intersection and shape of the road curve result in cars moving far too fast turning onto Mill Rd. with school and city bus stops at this crossing and many pedestrians. My family has had many scary encounters with fast cars coming dangerously close to us.,38.80238837215987,-77.06748751726812
251,2021-10-18T14:00:00Z,hazard-concern,crossing issue,signal - pedestrian interval too short,"Most people crossing the road press the button and give up waiting and just cross. But for those who do, if you're pushing a stroller or carrying packages, it's common for the light to have already changed before you reach the other side. ",38.80096400075647,-77.0686161640396
252,2021-10-18T23:47:42Z,amenity,marked crosswalk,NA,Pedestrians cross at this point throughout the day going to and from the Metro station. The Mill Rd/Eisenhower intersection has never felt safe/comfortable for pedestrians and it's a lot longer of a walk so people cross here instead. Cars coming on/off the highway need to be alerted to slow down and allow them to cross. ,38.79952328985303,-77.06775998349137
253,2021-10-19T00:29:54Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,Stop is treated as a merge for right turns,43.45893295514087,-80.50505355144342
254,2021-10-19T01:04:26Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,"This is a crosswalk across a 4-lane entrance/exit to a highway. It feels extremely unsafe, even with the walk light. There is a pedestrian bridge but it is only for the state legislative building. ",41.76329499789859,-72.68409462070738
255,2021-10-19T01:12:02Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,"This is a crosswalk across a busy intersection on a road leading to a highway. It feels extremely unsafe, even with the walk light. There is no alternative means if you want to use the pedestrian bridge to bushnell park. ",41.76378537722622,-72.68664695160248
256,2021-10-19T01:12:02Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,This whole intersection is a pedestrian nightmare it is scary crossing any direction. Cars come from every direction very quickly. I think this is a primary reason for reduced pedestrian traffic to businesses to the southeast. ,41.76267506390642,-72.68155351976044
257,2021-10-19T01:38:26Z,hazard-concern,crossing issue,crosswalk markings no longer visible,"To access the sidewalk, to Victoria General Hospital, from the bus stop, pedestrians must cross the slip road for Northbound traffic on the Trans Canada Hwy.
This crossing is not controlled and the markings are hardly visible.
Most vehicles at this point are traveling at highway speeds and many just refuse to stop.",48.46459538816547,-123.43100763079208
258,2021-10-19T03:24:09Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,Cars use this as a cut through and the street gets wider here,33.78111943114419,-118.03388690848755
259,2021-10-19T03:14:17Z,amenity,sidewalk,NA,On the West side of Canora there is no sidewalk between SummerGate Village and shortly before Deerbrush (entrance into Eaglehurst).  There also is a bus stop along that stretch.  SummerGate is 55+ and in Eaglehurst we also have severable disabled residents.,48.635787946893636,-123.41719003631546
260,2021-10-19T04:00:47Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,I walk my dog every night and cross at this intersection. There is a crosswalk but almost ALL cars carry on through without stopping. I have a flashlight and have lots of reflective bits; I am not invisible. Tonight someone stopped for me after the car in front of them blew through. Most nights no one stops. Pedestrian activated flashing lights might help.,48.63806826134172,-123.40334747404937
261,2021-10-17T05:21:00Z,amenity,sidewalk,NA,"This bridge needs sidewalks on BOTH sides, like twenty years ago already.",48.434352115035615,-123.3783871390259
262,2021-10-18T22:16:00Z,hazard-concern,safety/comfort concern,other,Dangerous pothole!,10.64990794683174,-61.512817280965415
263,2021-10-19T11:28:16Z,hazard-concern,safety/comfort concern,other,Pothole ,10.653729193229713,-61.51643263416817
264,2021-10-18T23:28:00Z,hazard-concern,safety/comfort concern,personal safety - gathering of unknown people,Nightly prostitution. ,10.65489373809683,-61.515767199317814
265,2021-10-18T23:30:00Z,amenity,lighting or additional lighting,NA,Poor street lighting. ,10.650741860070461,-61.51284760478551
266,2021-10-18T22:01:00Z,amenity,benches,NA,No public benches on the grounds of a public building. ,10.653233975858674,-61.511417171590146
267,2021-09-20T19:45:00Z,incident,near miss,vehicle from behind,"I'm on my bike, eastbound on Sinclair, stopped, signaling left turn into my driveway. Car behind me stops. Motorcycle behind that car, evidently going faster than safe for conditions, pops over the crest of the hill and is unable to stop, and wipes out in the oncoming traffic lane where, a couple of seconds previously, I had turned left into my driveway.",48.463409463379996,-123.30188934263744
268,2021-10-14T22:29:00Z,amenity,audible,NA,"The beg button for the crossing over Helmeken rd doesn't work anymore, so you don't know if pressing the button has triggered the light that you are there waiting to cross or not.",48.464477959602654,-123.4304394073144
269,2021-10-18T14:30:00Z,hazard-concern,side walk infrastructure issue,"obstruction - pole (hydro, telephone)","There is a hydro pole in the middle of the sidewalk, which means anyone with a mobility device will not be able to use this side of the road.",48.46819139557437,-123.42444198795685
285,2021-08-13T22:10:00Z,incident,near miss,vehicle turning right,Many near misses at this intersection.,48.45498034681805,-123.39400665563807
286,2021-10-19T23:20:45Z,hazard-concern,crossing issue,crosswalk markings no longer visible,Approximately 75% of the crosswalk has disappeared and needs repainting at this busy intersection with giant cement trucks frequently turning in and out of Lafarge Canada.,48.43504494551627,-123.37449007557504
287,2021-10-19T23:20:45Z,amenity,marked crosswalk,NA,Sidewalk suddenly ends on the north side of Bay St at the approach to the Point Ellice Bridge. There is a sign that tells pedestrians to use the (narrow) sidewalk on the south side of the bridge but no crossing to get to that side. You'd have to walk all the way back to Turner and use the crosswalk that has mostly worn away. No one is realistically going to walk all the way back to Turner Street so pedestrians frequently scramble across Bay here in between narrow gaps in traffic.,48.434730740678006,-123.37649071013354
288,2021-10-19T19:30:45Z,amenity,sidewalk,NA,"Sidewalk missing on Turner in front of Saltchuck Pie Company. The sidewalk disappears halfway down the block and suddenly becomes parking for business patrons, forcing anyone walking on Turner to walk on the street between parked cars (often backing out into you) and a street frequented by large industrial trucks.",48.43526449846946,-123.37464480550759
289,2021-10-20T00:00:45Z,amenity,sidewalk,NA,"Sidewalk missing on the north side of Richardson. The street is wider than necessary in this area, which encourages faster vehicle speeds.",48.4164547901853,-123.3422576445636
290,2021-10-20T02:20:45Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,This intersection needs upgrading and slip lanes need to be removed. Slip lanes are designed to maintain high vehicle speeds around corners which is not conducive to a vibrant or safe pedestrian realm.,48.42067199644405,-123.36878851842528
291,2021-10-20T03:50:01Z,amenity,sidewalk,NA,Missing sidewalks make walking unsafe.  There is also not enough space for bicycles,34.46064075457707,-119.78097215008857
292,2021-10-20T03:50:01Z,amenity,sidewalk,NA,The sidewalk ends. It is unsafe for walking and also for bicycling. ,34.45740841524202,-119.78453825019766
293,2021-10-20T18:59:54Z,amenity,marked crosswalk,NA,At the risk of suggesting every intersection be marked (maybe the only answer) there are no marked crossings along Moss (other than at Fairfield) even though several are within a school zone. Vehicles generally travel in fat in excess of 30/50 along here.,48.41703431266423,-123.34840524180932
294,2021-10-21T21:37:59Z,hazard-concern,crossing issue,crosswalk needed,There is no safe way to cross Cadboro Bay Rd. to access the beach at the bottom of Tudor.,48.45955598501984,-123.28795135484073
295,2021-10-21T21:37:59Z,amenity,connections (e.g. cut-through needed),NA,"There should be a better, paved connection between the pedestrian footpath from Hobbs St. to Haro St. which avoids the playgrounds and allows cycle and pedestrian traffic to commute across the schoolgrounds more easily.",48.464741021386956,-123.2989860141968
296,2021-10-21T21:45:34Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,There is no sidewalk or safe shoulder and cars travel at far to fast a speed down the hill. This is an important walking and cycling connecting for families / children accessing Doncaster Elementary and a connection to the Cedar Hill chip trail.,48.45765259068955,-123.34071115034067
297,2021-10-21T21:37:59Z,hazard-concern,safety/comfort concern,other,This intersection has poor visibility due to the hill and hedges so cars crossing or turning left from Cedar Hill X onto Cadboro Bay Rd. must move quickly and without clear sight lines. This creates confusion and many failed attempts by cars to accelerate. The slip lanes allow cars turning to keep high speeds. Cyclists must navigate all this without lanes of any kind. Pedestrians can only cross at the southern side of the intersection; there are no sidewalks on the north side at all.,48.4538908855972,-123.3025924270669
298,2021-10-21T21:49:37Z,hazard-concern,safety/comfort concern,other,"Parked cars on side of road and no sidewalks create single lane traffic and danger for pedestrians or those using wheelchairs and walkers going between the park (with senior/LTC housing) and the galloping goose trail safe transit to local malls. 
Almost all sidewalks in this area are quite old and unsafe and only a few roads even have sidewalks. In the narrow single lane areas, cars must go behind pedestrians… often leading  to impatience especially when waiting on a pedestrian with a walker. ",48.45773539258741,-123.38259377698334
299,2021-10-21T21:37:59Z,hazard-concern,safety/comfort concern,other,The alignment of the vehicle entrance to the village plaza parking lot is very awkward in relation to the crosswalk across Penrhyn. Vehicles turning left from Cadboro Bay onto Penrhyn to access the parking lot often cut off pedestrians.,48.461406046537725,-123.29660606517974
300,2021-10-21T23:32:40Z,hazard-concern,crossing issue,poor visibility of pedestrians,Cars always come speeding up a hill here and can't see above the peak of the hill.  A 30 km speed recommendation for this stretch of road is rarely followed.  Anyone wanting to cross at or around Union Rd has to take their chances and run across Blenkinsop.  ,48.46519268499424,-123.35013867727127
301,2021-10-22T11:53:10Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,"Shoulder of road very narrow for walking, no sidewalk, traffic often runs over 30km limit, no signage advising motorists to watch for pedestrians.",47.77155070527045,-53.978784437390985
302,2021-10-22T17:00:15Z,hazard-concern,side walk infrastructure issue,other,"There is no safe sidewalk/walkway for pedestrians on the west side of Cadboro Bay Rd between Sinclair and Penrhyn, and no crosswalk on the west side to cross at Penrhyn.",48.46136263014411,-123.29728259993549
303,2021-10-22T17:00:15Z,amenity,traffic or pedestrian signal,NA,"Cars have total priority at this intersection, which is unsafe and overbuilt as a result. It would be a huge improvement if either the easternmost portion of San Juan or the northernmost portion of Arbutus were blocked to vehicles and turned into a parkette with pedestrian/cycle access.",48.4790666598176,-123.30738336646549
304,2021-10-22T17:00:15Z,hazard-concern,safety/comfort concern,vehicles - number makes uncomfortable,The pedestrian/cycle path into UVic campus from the northwest dumps everyone into the parking lot where they have to contend with cars before accessing the sidewalk on McGill Rd.,48.46658087078444,-123.31777862891376
305,2021-10-22T20:58:18Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,"Shelbourne speed limit should be reduced to no more than 40 kms/hr because ""sidewalk"" on West side is totally inadequate (too narrow, too broken up) and could cause falling, tripping into traffic. ",48.45461096918094,-123.33303147311007
306,2021-10-22T15:00:00Z,incident,near miss,vehicle turning left,"Truck was turning left onto Oak Bay Ave from Amphion. I was turning left onto Amphion from Oak Bay, on a bike. Truck did not see me, and drove directly into my path as it shot across the intersection to get on Oak Bay Ave.",48.426510551667675,-123.3237718443455
307,2021-10-22T21:57:58Z,hazard-concern,safety/comfort concern,other,Bicycles going north west on Arbutus and then turning left onto Finnerty turn onto the sea rated bike path on the left side of Finnerty but cars turning right from Finnerty to Arbutus assume bikes are going to the vehicle travel lane on the right side of Finnerty. As a result cars turning right almost collide with cyclists turning left ,48.470646393727975,-123.30304583987387
308,2021-06-21T15:35:00Z,incident,near miss,vehicle turning right,Trying to cross at Linden and Fairfield a giant truck went to turn right and myself and my daughter had to jump in the curb to avoid being crushed. The driver did not see us or look and was focused on speeding traffic along Fairfield. Reported to police.,48.41684631422861,-123.35207892268264
309,2021-10-26T17:32:37Z,hazard-concern,crossing issue,poor visibility of pedestrians,There are shrubs that block the view of pedestrians trying to cross by drivers. Must step out onto roadway to be seen by drivers. ,48.43131295449188,-123.37873373627
310,2021-10-26T00:25:00Z,hazard-concern,side walk infrastructure issue,obstruction - vegetaion that narrows pathway,Dangerous Holly bush has overgrown sidewalk at face level.,48.436369323569686,-123.35077077599749
311,2021-10-22T23:12:00Z,hazard-concern,crossing issue,crosswalk needed,"where the continuation of the bike path from Circle Dr. meets the new Dallas Rd. multi use path. There are no pavement markings to indicate an area of potential conflict, nor a crosswalk even though there is a path intersection. Poor visibility for bikes heading west, due to trees. The design standard for the forcemain improvements said that all pedestrian crossings of the bike path would be given with pavement markings. I have had close calls and observed others have them",48.408123411267674,-123.36227373690004
312,2021-10-28T01:16:17Z,hazard-concern,side walk infrastructure issue,"obstruction - pole (hydro, telephone)",Pole in the middle of the sidewalk and an overgrown bush on side. There is not enough room for a stroller to fit through the gap and so they have to go on to the road! ,48.43151870932712,-123.36971211044633
313,2021-10-28T01:16:35Z,amenity,marked crosswalk,NA,A marked crossing in front of Value Village is needed. Parked cars and high levels of traffic make it dangerous to cross but it is a popular place to cross in order to get to Value Village.,48.43017890794741,-123.36964488613543
314,2021-10-28T01:16:35Z,hazard-concern,side walk infrastructure issue,other,Lots of garbage alongside the sidewalk,48.43417552850157,-123.36730894022814
315,2021-10-28T01:16:35Z,amenity,marked crosswalk,NA,"This is a common crossing spot with lots of traffic. Traffic tends to roll past the stop line, making it difficult to cross safely.",48.43102729583194,-123.36961459391506
316,2021-10-28T01:16:35Z,hazard-concern,side walk infrastructure issue,obstruction - vegetaion that narrows pathway,Very narrow space between hydro pole and overgrown bush,48.431167097404646,-123.36538599553528
317,2021-10-28T01:16:35Z,hazard-concern,crossing issue,conflict with vehicles turning right,The pedestrian island is too small. People overflow onto the street on a regular basis (less often during pandemic),48.42073280839733,-123.36872777114074
318,2021-10-28T01:16:35Z,hazard-concern,crossing issue,other,The areas for pedestrians to wait on this corner are too small. ,48.42292685821177,-123.36827495609757
319,2021-10-28T19:20:00Z,incident,near miss,vehicle turning left,A left turning vehicle heading onto Glentana from northbound Admirals must have jumped the green light and came flying into the intersection despite me starting to cross (heading north) and two others crossing heading south. He tried to thread the needle at high speed between us.,48.449675356630436,-123.42593492966337
320,2021-10-22T13:35:00Z,hazard-concern,safety/comfort concern,personal safety - inaequate lighting,There is no lighting in sč̓əmaθən | Peter Pollen Waterfront Park,48.42439046488441,-123.37685398242436
321,2021-10-31T00:53:17Z,hazard-concern,safety/comfort concern,other users - dogs,Off leash dog running and jumping at people. Owners were nearby and not able to control their dog.,48.46854700174578,-123.4675317728678
322,2021-11-02T02:00:12Z,amenity,other,NA,"Please add light-rail or some form of commuter train service between the University of Victoria, downtown Victoria, and the North Island.",48.46266178620742,-123.31545183055576
323,2021-09-24T00:00:00Z,incident,hit by,other,Knocked over by young pedestrians not following trail etiquette.,48.46898085565306,-123.36229291821874
324,2021-10-29T16:00:00Z,hazard-concern,safety/comfort concern,other,school zone sign is obstructed by streetlight,48.470267090654275,-123.3612018382226
325,2021-10-29T02:00:00Z,incident,near miss,vehicle turning head-on,I was in the middle of the crosswalk gesturing frantically and the car did not stop ,48.432637878856966,-123.34957438967615
326,2021-11-03T00:05:26Z,hazard-concern,safety/comfort concern,other users - bicycle,Road has no bike lane. CArs are moving very fast and there is no access to the other side of the highway that is safe for walkers bikes rollers,48.45754950645822,-123.49703223324575
327,2021-11-04T15:40:08Z,amenity,other,NA,Le trottoir est trop étroit lorsque nous attendons le feu étant donné l'achalandage piéton,45.45696659229489,-73.58099963685379
328,2021-11-04T15:40:08Z,hazard-concern,safety/comfort concern,other,Visibilité difficile en raison de la végétation,45.456975217556185,-73.58012659078655
329,2021-10-19T15:40:00Z,incident,near miss,vehicle turning right,une voiture tournaità droite dans cette intersection décalée quand je traversais,45.45489047966276,-73.57629010666011
330,2021-11-04T19:32:45Z,hazard-concern,side walk infrastructure issue,too narrrow,Test,45.643788337714774,-73.58070566265165
331,2021-11-04T17:31:00Z,incident,near miss,vehicle turning left,"Vehicle turning left, after pedestrian walk sign was activated, drove between the pedestrians on the marked crosswalk.  Pedestrians were crossing from both sides of Helmcken at the time.",48.4665290895417,-123.42871604087303
332,2021-11-04T17:29:04Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,Drivers ignore left turn lights and put pedestrians at risk ,48.46653935557142,-123.42870055800553
333,2021-11-05T01:05:14Z,amenity,sidewalk,NA,"Sidewalk ends as the stadium property extends to the road. Pedestrians are forced to walk in the bike lane (which has delineators), forcing cyclists onto the road. This is a very busy location.",48.443733134691314,-123.52288261604635
334,2021-09-30T20:35:00Z,hazard-concern,crossing issue,signal - pedestrian interval too short,"Si nous ne sommes pas directement sur le coin de la rue prêt à traverser, il est impossible de traverser sans courrir ou nous partons sur la main clignotante. Le bouton d'appel ''inversé'', il arrive fréquemment que nous ne soyons pas dans l'axe de la traverse. Nous obligeant soit à traverser illégalement soit à attendre longtemps (aux quatre-vents) le prochain feu pitéon. Problématique peu sécuritaire considérant la présence de nombreuses résidences pour personnes âgées.",45.447787771391994,-73.60974445011097
335,2021-09-01T15:08:00Z,hazard-concern,crossing issue,signal - button difficult to access,"Le positionnement des boutons d'appel semble être inverser. Ils ne sont pas positionner de façon instinctive. C'est à dire qu'on doit dévier de notre axe pour appuyer sur le bouton d'appel pour effectuer notre traversée. Résultat, on appuie sur le mauvais bouton d'appel et on attend longtemps et les piétons s'impatientent et traversent illégalement.
 
",45.447776222104174,-73.60969177069218
336,2021-09-01T15:08:00Z,hazard-concern,crossing issue,signal - wait time to cross too long,Le piéton finit par s'impatienter et traverser illégalement.,45.447758079631846,-73.60975217932285
337,2021-09-01T15:08:00Z,hazard-concern,crossing issue,other,"Le refuge-piéton est trop étroit et le flux autoroutier est trop important pour s'y sentir en sécurité. Il est d'ailleurs trop étroit pour attendre avec une poussette. 

Les piétons traversent illégalement plutôt que d'y attendre.",45.447748008142824,-73.6097593572535
338,2021-11-05T13:49:34Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,"Les automobilistes roulent rapidement et ne respectent pas la priorité des piétons, malgré la présence d'un passage pour piéton. ",45.460926354222984,-73.58491783931889
339,2021-11-05T13:49:34Z,amenity,other,NA,"L'interdiction de stationnement dans les 5 mètres de la traverse rend la visibilité des piétons plus difficile. De ce fait, l'ajout d'une bande jaune interdisant le stationnement ou l'ajout d'une saillie de trottoir obligerait les automobilistes à ne pas s'y stationner.",45.46084547212935,-73.58484096207042
340,2021-11-05T13:49:34Z,amenity,marked crosswalk,NA,L'ajout d'une possibilité de traverser dans la direction Est-Ouest de la rue bannantyne permettrait au piéton de ne traverser de façon sécuritaire pour se diriger vers l'épicerie.,45.45484639342651,-73.57655743854673
341,2021-11-05T13:49:34Z,hazard-concern,crossing issue,conflict with vehicles turning right,"Les véhicules roulent vites et s'arrêtent pas systématique au passage d'un piéton. En tant que piéton, il faut être hyper vigilant pour traverser en regardant derrière nous constamment pour voir si un véhicule arrive (difficile à anticiper avec le tournant de la rue Drake). ",45.4625170118179,-73.58109319620706
342,2021-11-06T00:35:00Z,hazard-concern,side walk infrastructure issue,too narrrow,"The south west corner of Cook and Bay is extremely narrow. This makes it very to wait here to cross, particularly if you have a stroller or any mobility device.",48.43501994980027,-123.35231595178799
343,2021-11-02T14:00:00Z,hazard-concern,crossing issue,conflict with vehicles turning righton red,"Turning from Tillicum onto Gorge Road West cars don't look for pedestrians with walk sign and right of way to walk.  Many issues at this intersection with cars going through red light, speed, going straight on turn lights.  Be aware when walking this area.  ",48.447840588251744,-123.4002810615746
344,2018-11-02T00:00:00Z,incident,hit by,vehicle turning left,"J'ai été frappé comme piéton par un véhicule à cette intersection, heureusement sans blessure ",45.55308062982582,-73.65492520992267
345,2021-11-08T12:47:55Z,amenity,sidewalk,NA,Manque de trottoir sur St-Charles ,45.69142756394274,-73.59804166338647
